term,layer,layer_name,definition,source,auto_quality_notes,reviewer_verdict,corrected_definition,reviewer_comment,review_date
原丝,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"用于碳化生产的聚丙烯腈纤维。[来源:GB/T40724—2021,3.3,有修改]3.1.2",GB/T 44870-2024,,,,,
预氧丝,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"原丝(3.1.1)经预氧化(3.4.4)处理后制得的纤维。[来源:GB/T40724—2021,3.20,有修改]3.1.",GB/T 44870-2024,,,,,
碳纤维,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"预氧丝(3.1.2)经热解重组制得的碳含量超过90%(质量分数)的纤维。[来源:GB/T40724—2021,3.1,有修改]3.1.4",GB/T 44870-2024,,,,,
石墨纤维,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"碳纤维(3.1.3)经石墨化(3.4.6)处理,碳含量不低于99%(质量分数)的纤维。[来源:GB/T40724—2021,3.2,有修改]3.1.",GB/T 44870-2024,,,,,
碳化生产,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,通过预氧化(3.4.4)、低温碳化、高温碳化、石墨化(3.4.6)、表面处理(3.4.7)、水洗(3.4.8)、水洗后干,GB/T 44870-2024,,,,,
石墨化生产,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,通过预氧化(3.4.4)、低温碳化、高温碳化、石墨化(3.4.6)、表面处理(3.4.7)、水洗(3.4.8)、水洗后干,GB/T 44870-2024,,,,,
预氧丝生产成套装备,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,由放丝机(3.3.1.1)、预氧化炉(3.3.2.1)、卷绕机(3.3.5.,GB/T 44870-2024,,,,,
碳纤维生产成套装备,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,由放丝机(3.3.1.1)、预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
石墨纤维生产成套装备,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,由放丝机(3.3.1.1)、预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
锭位数量,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,以卷装方式喂入生产线的原丝丝束数量。3.2.2,GB/T 44870-2024,,,,,
箱装数量,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,以箱装方式喂入生产线的原丝丝束数量。3.2.3,GB/T 44870-2024,,,,,
卷装重量,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,单锭原丝(3.1.1)的重量。3.2.4,GB/T 44870-2024,,,,,
箱装重量,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,单箱原丝(3.1.1)的重量。3.2.5,GB/T 44870-2024,,,,,
幅宽,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,生产线中整批丝束展平排列允许的最大宽度。3.2.6,GB/T 44870-2024,,,,,
成套装备机械速度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,生产线设计的最高运转速度。3.2.7,GB/T 44870-2024,,,,,
梯形槽宽度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,罗拉表面梯形槽的槽底宽度。23.2.8,GB/T 44870-2024,,,,,
梯形槽间距,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,罗拉表面相邻梯形槽的中心距。3.2.9,GB/T 44870-2024,,,,,
炉腔工作区尺寸,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
炉腔有效宽度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
炉腔有效长度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
预氧化炉炉腔有效高度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)炉腔内满足有效热处理的最大高度。3.2.13,GB/T 44870-2024,,,,,
预氧化炉设计温度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,满足原丝预氧化(3.4.4)处理要求的最高温度。3.2.14,GB/T 44870-2024,,,,,
低温碳化炉设计温度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,满足预氧丝(3.1.2)低温碳化(3.4.5)要求的最高温度。3.2.15,GB/T 44870-2024,,,,,
高温碳化炉设计温度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,满足低温碳化(3.4.5)后纤维进行高温碳化(3.4.5)要求的最高温度。3.2.16,GB/T 44870-2024,,,,,
石墨化炉设计温度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,满足碳纤维(3.1.3)进行高温石墨化(3.4.6)要求的最高温度。3.2.17,GB/T 44870-2024,,,,,
干燥机设计温度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,碳纤维(3.1.3)、石墨纤维(3.1.4)水洗或上浆后干燥的最高温度。3.2.18,GB/T 44870-2024,,,,,
炉腔单区温度均匀度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
炉内温度稳定度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
预氧化炉风速均匀度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,常温下预氧化炉(3.3.2.1)有效工作区内循环风最大流速与最小流速的差值。3.2.21,GB/T 44870-2024,,,,,
表面处理机设计电流,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,对碳纤维(3.1.3)、石墨纤维(3.1.4)进行电化学法表面处理(3.4.7)的最大电流。3.3设备、装置和零部件,GB/T 44870-2024,,,,,
放丝机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,实现放丝(3.4.1)工艺的装备。注:包括纱锭锁定装置、箱装原丝引出装置和张力控制装置等。3.3.1.2,GB/T 44870-2024,,,,,
集纱装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,将放丝后的原丝(3.1.1)展平排列成设定幅宽的装置。3.3.1.3,GB/T 44870-2024,,,,,
加湿站,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,采用浸没或超声波雾化等方式增加原丝(3.1.1)含水量的设备。3.3.2预氧化单元3.3.2.,GB/T 44870-2024,,,,,
预氧化炉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"采用热风循环等方式,对原丝(3.1.1)在空气中所做的热稳定化处理的设备。3.3.2.2",GB/T 44870-2024,,,,,
预氧化炉平台,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,满足预氧化炉(3.3.2.1)、罗拉组运转与维护保养的操作平台。3.3.2.3,GB/T 44870-2024,,,,,
罗拉框架,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,在预氧化炉(3.3.2.1)内用于安装丝束引导、折返罗拉和驱动装置的框架。3.3.2.4,GB/T 44870-2024,,,,,
冷却罗拉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,采用循环水冷方式降低表面温度的罗拉。3.3.2.5,GB/T 44870-2024,,,,,
送风腔,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,向预氧化炉工作区送风的装置。注:包含风向、风量调节机构。3.3.2.6,GB/T 44870-2024,,,,,
回风腔,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,从预氧化炉工作区收集回风的装置。3.3.2.7,GB/T 44870-2024,,,,,
预氧化炉气封装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉丝束进出口处的气体密封装置。43.3.3碳化单元3.3.,GB/T 44870-2024,,,,,
金属马弗,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"设置在低温碳化炉(3.3.3.3)内,由金属材料制成的、具有密封和气氛调节功能的箱体结构。3.3.3.2",GB/T 44870-2024,,,,,
石墨马弗,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"设置在高温碳化炉(3.3.3.4)或石墨化炉(3.3.3.5)内,以石墨为材料制成的、具有密封和气氛调节功能的箱体结构。3.",GB/T 44870-2024,,,,,
低温碳化炉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"采用辐射等方式加热,对预氧丝(3.1.2)进行低温碳化处理的设备。注:包括炉体、加热元件、保温材料构件、金属马弗(3.3.3.1)、碳化炉气封装置(3.3.3.",GB/T 44870-2024,,,,,
高温碳化炉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"采用辐射等方式加热,对纤维进行高温碳化处理的设备。注:包括炉体、加热元件、保温材料构件、石墨马弗(3.3.3.2)、碳化炉气封装置(3.3.3.6)、保护气体采样管路(3.3.",GB/T 44870-2024,,,,,
石墨化炉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"采用辐射或感应等方式加热,对碳纤维(3.1.3)进行石墨化处理的设备。注:包括炉体、加热元件或感应器、保温材料构件、石墨马弗(3.3.3.2)、碳化炉气封装置(3.3.3.",GB/T 44870-2024,,,,,
碳化炉气封装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,设置于低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.4)或石墨化炉(3.3.3.,GB/T 44870-2024,,,,,
保护气体采样管路,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,对低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.4)或石墨化炉(3.3.3.,GB/T 44870-2024,,,,,
保护气体系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.4)或石墨化炉(3.3.3.,GB/T 44870-2024,,,,,
加热供电系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,用于高温碳化炉(3.3.3.4)、石墨化炉(3.3.3.5)加热的供电系统。3.3.,GB/T 44870-2024,,,,,
冷却水循环系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.4)及石墨化炉(3.3.3.,GB/T 44870-2024,,,,,
表面处理机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,采用电化学法、化学法等对碳纤维(3.1.3)或石墨纤维(3.1.4)表面进行改性处理的设备。3.3.4.2,GB/T 44870-2024,,,,,
水洗机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,采用喷淋、浸渍等方法对经表面处理后的碳纤维(3.1.3)或石墨纤维(3.1.4)进行清洗的设备。3.3.4.3,GB/T 44870-2024,,,,,
上浆机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,碳纤维(3.1.3)或石墨纤维(3.1.4)表面上浆及含浆量控制的设备。3.3.4.4,GB/T 44870-2024,,,,,
干燥机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,对水洗或上浆后碳纤维(3.1.3)或石墨纤维(3.1.4)进行干燥的设备。注:分为接触式或非接触式。3.3.4.,GB/T 44870-2024,,,,,
定形机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"采用热辊接触加热的方式,对上浆后干燥碳纤维(3.1.3)或石墨纤维(3.1.4)的丝束宽度定形的设备。3.3.5卷绕单元",GB/T 44870-2024,,,,,
分丝架,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,保持碳纤维(3.1.3)或石墨纤维(3.1.4)各丝束分离并排布均匀的装置。3.3.5.2,GB/T 44870-2024,,,,,
卷绕机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"将碳纤维(3.1.3)或石墨纤维(3.1.4)丝束卷绕到筒管上,控制卷绕成形的设备。3.3.6驱动单元3.",GB/T 44870-2024,,,,,
驱动装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,输送丝束的装置。注:分为立式、卧式或其组合式。3.3.6.2,GB/T 44870-2024,,,,,
张力监测装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,监测丝束张力值的装置。3.3.6.3,GB/T 44870-2024,,,,,
气动执行装置,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,实现机构驱动、压辊加压、筒管轴胀紧和张力调节等的装置。3.3.7废气处理系统3.3.7.1,GB/T 44870-2024,,,,,
废气处理系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,将预氧化(3.4.4)、低温碳化(3.4.5)、高温碳化(3.4.5)过程中产生的废气进行处理并达到排放标准6,GB/T 44870-2024,,,,,
气体压力监测系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)、低温碳化炉(3.3.3.3)、高温碳化炉(3.3.3.,GB/T 44870-2024,,,,,
水喷淋喷雾系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,预氧化炉(3.3.2.1)内的灭火、降温应急系统。3.3.8.3,GB/T 44870-2024,,,,,
应急系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"在断电状态下,维持冷却水、强排风等正常运行的备用供电系统。3.3.8.4",GB/T 44870-2024,,,,,
氰化物气体报警系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,空气中氰化物浓度超标的报警系统。3.3.9监控系统3.3.9.1,GB/T 44870-2024,,,,,
总控系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,监测、控制和管理生产线运行的系统。3.3.9.2,GB/T 44870-2024,,,,,
生产线速度监控系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,监测、控制各驱动单元运转速度的系统。3.3.9.3,GB/T 44870-2024,,,,,
温度监控系统,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,监测、控制生产线各温控区工作温度的系统。3.4工艺过程3.4.1放丝unwinding将原丝(3.1.,GB/T 44870-2024,,,,,
集纱,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,将放丝后的原丝(3.1.1)展平排列成设定幅宽的过程。3.4.3,GB/T 44870-2024,,,,,
加湿,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,采用浸没或超声波雾化等方式增加原丝含水量的过程。3.4.4,GB/T 44870-2024,,,,,
预氧化,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"碳化前,对原丝(3.1.1)在空气中所做的热稳定化处理过程。[来源:GB/T40724—2021,3.19,有修改]73.",GB/T 44870-2024,,,,,
碳化,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"在惰性气氛中将预氧丝(3.1.2)转化为碳纤维(3.1.3)的热处理过程。注:通常包括低温碳化和高温碳化,在惰性气氛中400~1000的热处理过程为低温碳化,在惰性气氛中1000~1800的热处理过程为高温碳化。[来源:GB/T40724—2021,3.22]",GB/T 44870-2024,,,,,
石墨化,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"碳纤维(3.1.3)在惰性气氛中以更高温度所做的热处理,形成石墨晶体结构的过程。注:通常石墨化处理温度在1900以上。[来源:GB/T40724—2021,3.23,有修改]3.4.7",GB/T 44870-2024,,,,,
表面处理,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,通过电化学法、化学法等对碳纤维(3.1.3)、石墨纤维(3.1.4)表面进行改性处理的过程。3.4.8水洗washing,GB/T 44870-2024,,,,,
水洗后干燥,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,水洗后控制碳纤维(3.1.3)、石墨纤维(3.1.4)含水率的过程。3.4.10上浆sizing,GB/T 44870-2024,,,,,
上浆后干燥,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,上浆后控制碳纤维(3.1.3)、石墨纤维(3.1.4)表面含水率的过程。3.4.12定形setting,GB/T 44870-2024,,,,,
收丝,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,"将碳纤维(3.1.3)、石墨纤维(3.1.4)丝束卷绕到筒管上,控制卷绕成形的过程。4分类4.1纤维碳化生产成套装备分类名称、分类号及主要组成见表1。",GB/T 44870-2024,,,,,
平米重,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现130次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
分特,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现79次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他纺织材料,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现66次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未列名纺织材,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现27次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉制针织或钩,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现27次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
细度,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现26次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
